Question,Answer,Class
How do I cancel my order?,"Visit the Track & Manage My Order page on the IKEA website to cancel your order. If the order is already being processed, it is too late to cancel, but you can return any unwanted item once you receive it. You can also contact IKEA Customer Support at 1-888-888-4532.",orders
Can I change my delivery address after placing an order?,"You cannot change the delivery address once your order is placed, as orders begin processing immediately to ensure order fulfilment and shipping time. Contact the IKEA Customer Support Center for assistance.",orders
How do I reschedule my delivery?,"To reschedule your delivery, visit the Track & Manage My Order page, chat with IKEA support, or contact the IKEA US Customer Support Center at 1-888-888-4532.",orders
What are the delivery options?,"IKEA offers several delivery options: small parcel shipping via FedEx/UPS, Standard truck delivery, Scheduled Doorstep delivery, Scheduled In-Home delivery, and Express In-Home delivery. Options and pricing vary by location.",delivery
Does IKEA offer free shipping?,"IKEA does not offer free shipping as a standard policy. However, IKEA Family members receive savings on select delivery options. Small order shipping is free for IKEA Family members on qualifying orders of $50 or more pre-tax (excluding CO, HI, & NV).",delivery
What is the minimum order for delivery?,"Delivery requires a minimum $35 merchandise subtotal to qualify, after discounts, coupons, credits, and promotional offers.",delivery
Does IKEA deliver outside the continental US?,"No, IKEA does not currently offer shipping and delivery outside of the continental US.",delivery
What is Click & Collect?,"Click & Collect lets you shop on ikea.com, add products to your cart, and at checkout select Click & Collect to find a participating store near you, where your order will be prepared for pickup.",delivery
What is Collect Near You?,"Collect Near You is pick-up of your IKEA items from a non-branded, third-party location (e.g., FedEx or certain warehouse locations). It requires a minimum merchandise subtotal of $35 or more to qualify.",delivery
Is there a storage fee for delayed deliveries?,"Large items scheduled for delivery more than fourteen days from the date of purchase may require an additional storage fee of up to $10 per day.",delivery
What payment methods does IKEA accept in store?,"IKEA stores accept IKEA gift and return/refund cards, the IKEA Projekt card, American Express, Discover, MasterCard, Visa, debit cards, Apple Pay, Google Pay, Afterpay, Samsung Pay, and cash. Visa gift cards are also accepted but only one may be used per transaction. Checks are not accepted.",payments
What payment methods does IKEA accept online?,"For online and phone purchases, IKEA accepts IKEA gift/return/refund cards (with PIN), the IKEA Projekt card, American Express, Discover, MasterCard, Visa, Afterpay, and PayPal.",payments
Can I use a foreign credit card on IKEA.com?,"To place an order using a credit card issued outside of the US, you must contact the IKEA US Customer Support Center at 1-888-888-4532, as the website does not accept foreign forms of payment.",payments
What financing options does IKEA offer?,"IKEA offers the IKEA Projekt Credit Card with 0% interest on purchases of $500 or more for 6-24 months depending on the purchase amount. Afterpay is also available, allowing you to split your purchase into four interest-free payments.",payments
How does Afterpay work at IKEA?,"Afterpay allows you to split your purchase into four interest-free payments. The first payment is taken when the order is placed and the remaining three are automatically processed every two weeks.",payments
What is IKEA Family?,"IKEA Family is a free loyalty program. Members enjoy product discounts, free coffee and tea during store visits, 90-day price protection, rewards points, a birthday surprise, free workshops, extra Smaland time for children, and online access to As-Is shopping.",loyalty
How do I use my IKEA Family card?,"Your IKEA Family card barcode is at the bottom of all IKEA emails and can be scanned from your phone. You can also add it to your Apple or Android mobile wallet. Scan your card at checkout to activate benefits. Cashiers cannot look up your information manually.",loyalty
What is IKEA Family price protection?,"When you scan your IKEA Family card at checkout, you activate 90-day price protection. If a product goes on sale within 90 days of purchase, you can bring in your receipt for a refund of the difference. This applies only to product purchases; service purchases are excluded.",loyalty
Does IKEA sell products on Amazon or other third-party sites?,"No, IKEA does not sell products on Amazon or any other third-party sites. Any IKEA product on a third-party site is being sold by an unauthorized reseller. IKEA products are only sold in IKEA stores worldwide and on IKEA.com.",general
How do I check product availability?,"You can check the product page on ikea.com for stock updates, sign up for stock alerts, or call 1-888-888-4532 to research possible incoming stock. Items available only at store locations must be purchased in person.",general
Does IKEA offer assembly services?,"Yes, through its service partner Taskrabbit, IKEA offers assembly services starting at a flat rate of $52. The service includes assembly according to instructions and installation of tip-over restraints. A representative 18 years or older must be present when the Tasker arrives.",general
What if I cancel assembly service last minute?,"If you cancel or reschedule your assembly service within 24 hours of your confirmed service date and time, you may be charged the $52 minimum assembly fee.",general
What should I do if my product is damaged on delivery?,"If your product arrived damaged, for the quickest resolution, visit an IKEA store with the damaged product or part(s) along with your order confirmation or receipt. If you are unable to do so, contact the IKEA US Customer Support Center at 1-888-888-4532.",complaint
What if I am missing parts from my product?,"If you are missing hardware (screws, drawer slides, etc.), IKEA can place an order free of charge to be shipped to you, pending availability. Hardware with a 6-digit part number can be ordered via the self-service spare part portal or by calling 1-888-888-4532. Larger missing parts are provided at the store's discretion and fees may apply.",complaint
What warranty does IKEA offer on products?,"Certain IKEA products are covered under a limited warranty. Warranty claims must be accompanied by proof of purchase and are subject to inspection. The warranty does not apply to products stored or assembled incorrectly, used inappropriately, abused, misused, altered, or cleaned with incorrect methods.",complaint
How do I make a warranty claim?,"Bring the product or part along with your proof of purchase (receipt or order confirmation) to an IKEA store. IKEA store co-workers will inspect the product and issue the final decision about the warranty claim.",complaint
What if my appliance has a problem after 365 days?,"For appliance help outside of 365 days, please contact Whirlpool directly at (866) 664-2449. For more information regarding IKEA appliance warranty, visit the Product Warranties page on ikea.com.",complaint
I received the wrong item in my order. What should I do?,"Contact IKEA Customer Support at 1-888-888-4532 or use the online chat for the quickest resolution. You can also visit your local IKEA store with the incorrect item and your order confirmation or receipt for an exchange or refund.",complaint
My delivery was late or missed the scheduled window. What can I do?,"Contact IKEA Customer Support at 1-888-888-4532 or use the Track & Manage My Order tool to check your delivery status. IKEA works with third-party delivery companies and can help reschedule or investigate the delay.",complaint
How do I file a complaint about my IKEA experience?,"You can file a complaint by contacting IKEA Customer Support at 1-888-888-4532 (available Sunday-Saturday, 8:00 AM - 12:00 AM ET), using the online chat on the IKEA website, or visiting your local IKEA store and speaking with the customer service team.",complaint
How do I contact IKEA Customer Support?,"IKEA US Customer Support is available at 1-888-888-4532, Sunday through Saturday, 8:00 AM to 12:00 AM ET. You can also use the online chat on the IKEA customer service page.",general
How do IKEA gift cards work?,"IKEA gift cards are available in increments of $5 to $1,000, can be redeemed at any US store or online, and do not expire. You can also send personalized eGift Cards via email. Gift card purchases, taxes, shipping, delivery fees, assembly, and other service fees do not count towards the $35 minimum order for delivery.",general
Can I check my gift card balance?,"Yes, to check your gift card balance, you will need the 4-digit PIN located underneath the gray scratch-off field on the back of the card. You can check the balance online or by calling IKEA Customer Support.",general
What are IKEA Planning Studio services?,"IKEA Planning Studios offer free one-to-one planning appointments, delivery, finance, assembly, and installation services (additional fees may apply for services). They help with kitchen, bathroom, and other room planning.",general
Does IKEA offer kitchen installation services?,"Yes, IKEA Kitchen Services works with local professional kitchen installers that are licensed, insured, and provide warranties for 5 years post-completion on IKEA-supplied kitchen products.",general
